"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2019-04,74.73,20.6,2.71,1.73,0.22,0
2019-05,74.05,21.04,2.88,1.8,0.23,0
2019-06,73.42,21.09,3.62,1.59,0.27,0.01
2019-07,73.47,19.89,4.67,1.72,0.24,0
2019-08,75.19,17.87,4.86,1.85,0.23,0
2019-09,74.92,20.38,2.52,1.95,0.24,0
2019-10,73.17,22.33,1.9,2.35,0.26,0
2019-11,71.35,23.89,1.56,2.9,0.29,0
2019-12,73.2,22.39,1.48,2.64,0.29,0
2020-01,73.5,22.77,1.17,2.28,0.29,0
2020-02,71.65,24.74,1.17,2.13,0.31,0
2020-03,71.03,25.33,1.14,2.14,0.35,0
2020-04,70.67,25.46,1.35,2.13,0.4,0
